"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "JavaScript JSX", "XML", "HTML", "comment", "blank", "total"
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/package-lock.json", "JSON", 31926, 0, 0, 0, 0, 0, 0, 0, 1, 31927
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/package.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/public/favicon/site.webmanifest", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 27, 0, 1, 28
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/public/manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/App.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 6, 9, 78
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/Activelistings.jsx", "JavaScript JSX", 0, 0, 0, 0, 77, 0, 0, 6, 11, 94
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/ActivelistingsTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 134, 0, 0, 0, 3, 137
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/AllActivelistings.jsx", "JavaScript JSX", 0, 0, 0, 0, 75, 0, 0, 5, 10, 90
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/AllListings.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 0, 1, 5, 40
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/AllPendinglistings.jsx", "JavaScript JSX", 0, 0, 0, 0, 80, 0, 0, 6, 11, 97
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/AllSoldlistings.jsx", "JavaScript JSX", 0, 0, 0, 0, 79, 0, 0, 5, 11, 95
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/AllUnsoldlistings.jsx", "JavaScript JSX", 0, 0, 0, 0, 65, 0, 0, 5, 11, 81
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/DashElement.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 153, 0, 0, 2, 6, 161
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/Loading.jsx", "JavaScript JSX", 0, 0, 0, 0, 195, 0, 0, 0, 6, 201
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 93, 0, 0, 2, 9, 104
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/Nav.jsx", "JavaScript JSX", 0, 0, 0, 0, 171, 0, 0, 66, 5, 242
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/Pagination.jsx", "JavaScript JSX", 0, 0, 0, 0, 69, 0, 0, 1, 8, 78
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/PendingTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 132, 0, 0, 0, 3, 135
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/Pendinglistings.jsx", "JavaScript JSX", 0, 0, 0, 0, 80, 0, 0, 6, 11, 97
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/Requests.jsx", "JavaScript JSX", 0, 0, 0, 0, 223, 0, 0, 3, 10, 236
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/Search.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"/Users/timothyhuneck/DEV/D&P Consignments/consignment-admin/client/src/components/SoldTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 132, 0, 0, 0, 3, 135
